epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.02247191034257412,0.0010000000474974513,5.857252597808838,0.02383532002568245,5.590550422668457
1,0.03125,0.0010000000474974513,5.728986740112305,0.02383532002568245,5.620821952819824
2,0.02738764137029648,0.0010000000474974513,5.384070873260498,0.02383532002568245,6.284663200378418
3,0.0625,0.0010000000474974513,5.049313068389893,0.02491874247789383,5.607673168182373
4,0.02668539248406887,0.0010000000474974513,5.265357494354248,0.04658721387386322,20.29967498779297
5,0.0,0.0010000000474974513,4.945359230041504,0.04117009788751602,20.940019607543945
6,0.047986891120672226,0.0005000000237487257,4.848255634307861,0.0530877560377121,47.00259780883789
7,0.0625,0.0005000000237487257,4.6192402839660645,0.055254604667425156,49.9596061706543
8,0.056179776787757874,0.0005000000237487257,4.613672256469727,0.05092091113328934,103.93063354492188
9,0.1875,0.0005000000237487257,4.197876453399658,0.04983748495578766,103.36443328857422
10,0.0629681646823883,0.0005000000237487257,4.426127910614014,0.04658721387386322,216.6880645751953
11,0.09375,0.0002500000118743628,4.144411563873291,0.04658721387386322,216.1822052001953
12,0.05992509424686432,0.0002500000118743628,4.296097755432129,0.05200433358550072,138.9850311279297
13,0.0625,0.0002500000118743628,4.058797836303711,0.05200433358550072,138.9454345703125
14,0.07420411705970764,0.0002500000118743628,4.182737350463867,0.0476706400513649,135.7236328125
15,0.0,0.0002500000118743628,4.091066360473633,0.0476706400513649,134.2535400390625
16,0.0749063640832901,0.0001250000059371814,4.097663879394531,0.03900324925780296,141.85154724121094
17,0.09375,0.0001250000059371814,4.100095748901367,0.04008667543530464,142.79000854492188
